Year,Position,Team_Name,Bed Number,Category,Time
2004,8,SQUASHED HEARTS,,,16:22
2004,9,SHAMROCK VETS,,,16:22
2004,10,THE FELLOWSHIP,,,16:23
2004,11,NIDD VALLEY RACERS,,,16:30
2004,12,WILLY'S WONKAS,,,16:38
2004,13,DALESIDE BREWERY,,,16:38
2004,14,THE BOYZ,,,16:39
2004,15,BEBRA BEAVERS,,,16:54
2004,16,LINK INTERCHANGE,,,16:55
2004,17,PICCADILLY MOTORS LTD,,,17:00
2004,18,KNARESBOROUGH CHURCHES TOGETHER,,,17:12
2004,19,HARROGATE BOXING CLUB,,,17:13
2004,20,CHRIS JONES TAE-KWON-DO SCHOOL,,,17:16
2004,21,MENWITH HILL RUGGERS,,,17:48
2004,22,KRUFC NO.1,,,17:53
2004,23,HAIR BEAR BUNCH,,,17:54
2004,24,MUCKS SHIFTERS,,,18:06
2004,25,YOUNG ONES,,,18:15
2004,26,MOORES FURNITURE GROUP,,,18:27
2004,27,THE WELLY WHEELERS,,,18:32
2004,28,WHITE ROSE CUTTING FORMS,,,18:33
2004,29,ST MARYS GOLDEN GIRLS,,,18:38
2004,30,THE NERO EXPRESS,,,18:45
2004,31,YORKSHIRE DALES CARAVAN CLUB,,,18:54
2004,32,NIDD VALLEY LADIES,,,19:05
2004,33,MOTHER SHIPTON INN,,,19:15
2004,34,THE UGLY DUCKLINGS,,,19:24
2004,35,MHS CONTRACTORS,,,19:33
2004,36,CANDLELIGHTERS ALLSTARS,,,19:51
2004,37,MACKS POWER 11,,,20:18
2004,38,BONE SHAKERS,,,20:57
2004,39,ASPIN ANGELS,,,22:27
2004,40,RAILWAY SLEEPERS,,,22:41
2004,41,CASTLE CRUISERS,,,22:57
2004,42,THE HART,,,23:40
2004,43,THE EUROPCAR EXPRESS,,,25:02
2004,44,BETTYS BED-ROCKING BABES,,,25:15
2004,45,THE PINK PUMAS,,,25:33
2004,46,DALES UNIT DASHERS,,,27:06
2004,47,ASPIN DEVILS,,,27:36
2003,1,HARROGATE HARRIERS,,,14:02
2003,2,SQUASHED BALLS,,,15:11
2003,3,CRAG RATS,,,15:47
2003,4,GUARDIAN ALARMS,,,15:47
2003,5,NIDD VALLEY RACERS,,,15:48
2003,6,SQUASHED HEARTS,,,16:18
2003,7,NIPPERS BALD ROOM DANCERS,,,16:30
2003,8,ABBSON ATHLETIC,,,16:35
2003,9,FOREST SCHOOL FLYERS,,,16:35
2003,10,PICCADILLY MEN,,,16:47
2003,11,SHAMROCK VET. CLINIC,,,16:50
2003,12,LOCK STOCK & SIX FLOATING BARRELS,,,16:55
2003,13,DALESIDE BREWERY PUSHERS,,,17:33
2003,14,WACKY RACERS,,,17:40
2003,15,MARKET MARAUDERS,,,17:42
2003,16,RACING PAWS (POSH PAWS),,,17:46
2003,17,THE BOX,,,17:49
2003,18,HAIR BEAR BUNCH,,,17:54
2003,19,DIESELS COOL RUNNINGS,,,18:02
2003,20,MOTHER SHIPTON INN,,,18:39
2003,21,MOORES FURNITURE GROUP,,,18:52
2003,22,HOSPITAL RUNNING CREW,,,18:59
2003,23,STAUNCH.COM,,,19:07
2003,24,DUKES OF HAZZARD,,,19:11
2003,25,THE WELLY WHEELERS,,,19:16
2003,26,KRUFC (1),,,19:20
2003,27,MISS KELLY'S HEROES,,,19:33
2003,28,NIPPERS FIXIN'VIXENS,,,19:45
2003,29,MHS CONTRACTORS,,,19:49
2003,30,MENWITH HILL RUGGERS,,,19:51
2003,31,FUZZY DUCKS,,,20:03
2003,32,MACK'S POWER,,,20:34
2003,33,YORKSHIRE DALES CARAVAN CLUB,,,20:37
2003,34,MEDWAY DRUNKEN SAILORS,,,20:39
2003,35,ST MARYS GOLDEN GIRLS,,,20:47
2003,36,ASPIN ANGELS,,,21:20
2003,37,ASPIN DEVILS,,,22:05
2003,38,BAYWATCH BABES,,,24:07
2003,39,THE CASTLE CRUISERS,,,24:19
2003,40,NIPPERS BAD GIRLS,,,25:00
2003,41,SIX PACK AND SOME NUTS,,,25:48
2003,42,ST JOHNS YOUTH ONE,,,26:28
2003,43,DUKES OF HAZZARD LL,,,26:58
2003,44,ST JOHNS YOUTH TWO,,,27:36
2003,45,KIDS AT HEART,,,30:34
2003,46,FARNDALE FILLIES,,,30:36
